name,state,FDR,A1,A2,A3,B1,B2,B3
GENE-5847,NO,1,29,15,16,31,12,21
GENE-5848,NO,1,890,731,736,773,734,724
GENE-5849,NO,1,0,0,0,0,1,0
GENE-5850,YES,1,0,0,0,0,0,0
GENE-5851,NO,1,0,0,0,0,0,0
GENE-5852,NO,1,74,82,123,94,106,52
GENE-5853,NO,1,0,0,0,0,0,0
GENE-5854,NO,1,4,3,3,4,1,1
GENE-5855,NO,1,1441,1441,1507,1463,1471,1434
GENE-5856,NO,1,0,0,0,0,0,0
GENE-5857,NO,1,0,0,0,0,0,0
GENE-5858,NO,1,0,0,0,0,0,0
GENE-5859,NO,1,0,0,1,1,0,1
GENE-5860,NO,1,5,2,3,6,5,6
GENE-5861,NO,1,0,0,0,0,0,0
GENE-5862,NO,1,0,0,0,0,0,0
GENE-5863,NO,1,0,0,0,0,0,0
GENE-5864,NO,1,0,0,0,0,0,0
GENE-5865,NO,1,0,0,0,0,0,0
GENE-5866,NO,1,0,0,0,0,0,0
GENE-5867,NO,1,0,0,0,0,0,0
GENE-5868,NO,1,0,0,0,0,0,0
GENE-5869,NO,1,0,0,0,0,0,0
GENE-5870,NO,1,1,0,2,2,1,1
GENE-5871,NO,1,0,0,0,0,0,0
GENE-5872,NO,1,0,1,0,0,1,0
GENE-5873,NO,1,608,716,798,629,735,680
GENE-5874,NO,1,171,228,215,168,166,143
GENE-5875,NO,1,0,0,0,0,0,0
GENE-5876,NO,1,0,0,0,0,0,0
GENE-5877,NO,1,0,0,0,0,0,0
GENE-5878,NO,1,0,0,0,0,0,0
GENE-5879,NO,1,0,0,0,0,0,0
GENE-5880,NO,1,51,41,40,30,30,33
GENE-5881,NO,1,0,0,0,0,0,0
GENE-5882,YES,1,0,0,0,1,0,1
GENE-5883,NO,1,0,0,0,0,0,0
GENE-5884,NO,1,0,0,0,0,0,0
GENE-5885,NO,1,0,0,0,0,0,0
GENE-5886,NO,1,0,0,0,0,0,0
GENE-5887,NO,1,1428,1368,1986,582,1773,1490
GENE-5888,NO,1,0,0,0,0,0,0
GENE-5889,NO,1,0,0,0,0,0,0
GENE-5890,NO,1,0,0,0,0,0,0
GENE-5891,NO,1,0,0,0,0,0,0
GENE-5892,NO,1,0,0,0,0,0,0
GENE-5893,NO,1,0,0,0,0,0,0
GENE-5894,NO,1,0,0,0,0,0,0
GENE-5895,NO,1,0,0,0,0,0,0
GENE-5896,NO,1,0,0,0,0,0,0
GENE-5897,NO,1,0,0,0,0,0,0
GENE-5898,NO,1,0,0,0,0,0,0
GENE-5899,YES,1,0,0,0,0,0,0
GENE-5900,NO,1,1090,942,912,569,707,841
GENE-5901,NO,1,0,0,0,0,0,0
GENE-5902,NO,1,1,3,4,1,5,3
GENE-5903,NO,1,76,62,66,53,39,85
GENE-5904,NO,1,0,0,0,0,0,0
GENE-5905,NO,1,1027,1129,1071,879,1135,805
GENE-5906,NO,1,0,0,0,0,0,0
GENE-5907,NO,1,0,0,0,0,0,0
GENE-5908,NO,1,0,0,0,0,0,0
GENE-5909,NO,1,0,0,0,0,0,0
GENE-5910,NO,1,0,0,0,0,0,0
GENE-5911,NO,1,0,0,0,0,0,0
GENE-5912,NO,1,1380,1348,2397,314,421,699
GENE-5913,NO,1,15,18,20,19,10,9
GENE-5914,NO,1,0,0,0,0,0,0
GENE-5915,NO,1,0,0,0,0,0,0
GENE-5916,NO,1,0,0,0,0,0,0
GENE-5917,NO,1,84,90,60,76,83,64
GENE-5918,NO,1,3,2,0,0,2,0
GENE-5919,NO,1,111,85,185,118,99,138
GENE-5920,NO,1,0,0,0,0,0,0
GENE-5921,NO,1,0,0,0,0,0,0
GENE-5922,NO,1,0,0,0,0,0,0
GENE-5923,NO,1,0,0,0,0,0,0
GENE-5924,NO,1,1,0,0,0,0,0
GENE-5925,NO,1,0,0,0,0,0,0
GENE-5926,NO,1,0,0,0,0,0,0
GENE-5927,NO,1,0,0,0,0,0,0
GENE-5928,NO,1,0,0,0,0,0,0
GENE-5929,YES,1,1,2,1,3,0,3
GENE-5930,NO,1,0,0,0,0,0,0
GENE-5931,NO,1,0,0,0,0,0,0
GENE-5932,NO,1,0,0,0,0,0,0
GENE-5933,NO,1,0,0,0,0,0,0
GENE-5934,NO,1,0,0,0,0,0,0
GENE-5935,NO,1,8,12,9,5,13,10
GENE-5936,NO,1,629,468,591,648,470,657
GENE-5937,NO,1,426,67,253,472,244,69
GENE-5939,NO,1,7865,9975,7639,8008,7178,7787
GENE-5940,NO,1,98,55,155,109,84,92
GENE-5942,NO,1,0,0,0,0,0,0
GENE-5943,NO,1,69,63,59,62,75,75
GENE-5944,NO,1,178,186,135,161,199,167
GENE-5945,YES,1,0,0,0,0,0,0
GENE-5946,NO,1,20,140,8,33,101,73
GENE-5947,NO,1,1,0,0,0,0,0
GENE-5948,NO,1,46,55,52,66,47,68
GENE-5949,NO,1,0,0,0,0,0,0
GENE-5950,NO,1,46,32,51,95,36,43
GENE-5951,NO,1,0,0,0,0,0,0
GENE-5952,NO,1,0,0,0,0,0,0
GENE-5953,NO,1,0,0,0,1,0,0
GENE-5954,NO,1,0,0,0,0,0,0
GENE-5955,NO,1,0,0,0,0,0,0
GENE-5956,NO,1,21,22,23,14,24,16
GENE-5957,NO,1,0,0,0,0,0,0
GENE-5958,NO,1,0,0,0,0,0,0
GENE-5959,NO,1,10,4,10,13,8,8
GENE-5960,NO,1,0,0,0,0,0,0
GENE-5961,NO,1,0,0,0,0,0,0
GENE-5962,NO,1,0,0,0,0,0,0
GENE-5963,NO,1,1075,1018,928,891,926,1022
GENE-5964,NO,1,263,264,317,286,286,290
GENE-5965,NO,1,944,741,651,709,903,824
GENE-5966,NO,1,0,0,3,0,0,0
GENE-5967,NO,1,0,0,0,0,0,0
GENE-5968,NO,1,0,0,0,0,0,0
GENE-5969,NO,1,0,0,0,0,0,0
GENE-5970,NO,1,0,0,0,0,0,0
GENE-5971,NO,1,0,0,0,0,0,0
GENE-5972,NO,1,0,0,0,0,0,0
GENE-5973,NO,1,0,0,0,0,0,0
GENE-5974,NO,1,0,0,0,0,0,0
GENE-5975,NO,1,6,5,3,4,7,5
GENE-5976,NO,1,0,0,0,0,0,0
GENE-5977,NO,1,0,0,0,0,0,0
GENE-5978,NO,1,172,205,204,190,235,199
GENE-5979,NO,1,0,0,0,0,0,0
GENE-5980,NO,1,0,0,0,0,0,0
GENE-5981,NO,1,973,992,922,937,924,881
GENE-5982,NO,1,0,0,0,0,0,0
GENE-5983,NO,1,1,0,1,0,1,0
GENE-5984,NO,1,0,0,0,0,0,0
GENE-5985,NO,1,58,31,32,4,17,85
GENE-5986,NO,1,593,3,45,0,61,97
GENE-5987,NO,1,0,0,0,0,0,0
GENE-5988,NO,1,35,42,44,38,46,43
GENE-5989,NO,1,0,0,0,0,0,0
GENE-5990,NO,1,486,347,512,453,394,408
GENE-5991,NO,1,2594,2328,2101,2694,1759,2646
GENE-5992,NO,1,0,0,0,0,0,0
GENE-5993,NO,1,0,0,1,2,0,0
GENE-5994,NO,1,0,0,0,0,0,0
GENE-5995,NO,1,0,0,0,0,0,0
GENE-5996,NO,1,0,0,0,0,0,0
GENE-5997,NO,1,0,0,0,0,0,0
GENE-5998,NO,1,0,0,0,0,0,0
GENE-5999,NO,1,0,0,0,0,0,0
GENE-6000,NO,1,0,0,0,0,0,0
GENE-6001,NO,1,0,4,0,1,0,1
GENE-6002,NO,1,0,0,0,0,0,0
GENE-6003,NO,1,3,4,1,0,2,1
GENE-6004,NO,1,0,0,0,0,0,0
GENE-6005,NO,1,0,0,0,0,0,0
GENE-6006,YES,1,0,0,0,0,0,0
GENE-6007,NO,1,0,0,0,0,0,0
GENE-6008,NO,1,0,0,0,0,0,0
GENE-6009,NO,1,106,76,70,46,79,62
GENE-6010,NO,1,0,0,0,0,0,0
GENE-6011,NO,1,0,0,0,0,0,0
GENE-6012,NO,1,0,0,0,0,0,0
GENE-6013,NO,1,30,49,20,20,15,14
GENE-6014,NO,1,0,0,0,0,0,0
GENE-6015,NO,1,0,0,0,0,0,0
GENE-6016,NO,1,3,1,1,2,1,0
GENE-6017,NO,1,386,1017,790,636,526,553
GENE-6018,NO,1,0,0,0,0,0,0
GENE-6019,NO,1,1845,764,459,776,686,253
GENE-6020,NO,1,0,0,0,0,0,0
GENE-6021,NO,1,8,12,12,6,1,3
GENE-6022,NO,1,5628,5365,4046,5846,5379,5333
GENE-6023,NO,1,0,0,0,0,0,0
GENE-6024,NO,1,0,0,0,0,0,0
GENE-6025,NO,1,0,0,0,0,0,0
GENE-6026,NO,1,17,21,11,25,35,18
GENE-6027,NO,1,0,0,0,0,0,0
GENE-6028,YES,1,0,0,0,0,0,0
GENE-6029,NO,1,628,428,417,548,454,301
GENE-6030,NO,1,2,2,1,3,0,1
GENE-6031,NO,1,9,5,3,6,6,7
GENE-6032,NO,1,284,299,226,235,306,236
GENE-6033,YES,1,0,0,0,0,0,0
GENE-6034,NO,1,0,0,0,0,0,0
GENE-6035,NO,1,0,0,0,0,0,0
GENE-6036,NO,1,0,0,0,0,0,0
GENE-6037,NO,1,16,18,16,20,6,13
GENE-6038,NO,1,0,0,0,0,0,0
GENE-6039,NO,1,21,14,10,10,34,34
GENE-6040,NO,1,0,0,0,0,0,0
GENE-6041,NO,1,0,0,0,0,0,0
GENE-6042,YES,1,0,0,0,0,0,0
GENE-6043,NO,1,0,0,0,0,0,0
GENE-6044,YES,1,0,0,0,0,0,0
GENE-6045,NO,1,0,0,0,0,0,0
GENE-6046,NO,1,0,0,0,0,0,0
GENE-6047,NO,1,47,26,28,20,13,12
GENE-6048,NO,1,0,0,0,0,0,0
GENE-6049,NO,1,0,0,0,0,0,0
GENE-6050,NO,1,1,0,4,0,3,3
GENE-6051,NO,1,747,622,532,855,736,691
GENE-6052,NO,1,2,0,0,2,3,4
GENE-6053,NO,1,0,0,0,0,0,0
GENE-6054,NO,1,0,0,0,0,0,0
GENE-6055,NO,1,2,3,4,7,4,2
GENE-6056,NO,1,0,0,0,0,0,0
GENE-6057,NO,1,8,6,9,7,11,9
GENE-6058,NO,1,125,97,81,96,105,95
GENE-6059,NO,1,0,0,0,0,0,0
GENE-6060,NO,1,0,0,0,0,0,0
GENE-6061,NO,1,30,11,23,36,50,33
GENE-6062,NO,1,0,0,0,0,0,0
GENE-6063,NO,1,0,0,0,0,0,0
GENE-6064,NO,1,15,17,16,13,29,13
GENE-6065,NO,1,0,0,0,0,0,0
GENE-6066,NO,1,0,0,0,0,0,0
GENE-6067,NO,1,1,0,1,1,2,3
GENE-6068,NO,1,0,0,0,0,0,0
GENE-6069,YES,1,0,0,0,0,1,0
GENE-6070,NO,1,0,1,1,0,2,1
GENE-6071,NO,1,0,0,0,0,0,0
GENE-6072,NO,1,0,0,1,0,0,0
GENE-6073,NO,1,0,0,0,0,0,0
GENE-6074,NO,1,0,0,0,0,0,0
GENE-6075,NO,1,281,175,324,262,375,406
GENE-6076,NO,1,0,0,0,0,0,0
GENE-6078,NO,1,0,0,0,0,0,0
GENE-6079,NO,1,0,2,0,0,0,0
GENE-6080,NO,1,0,0,0,0,0,0
GENE-6081,NO,1,0,0,0,0,0,0
GENE-6082,NO,1,0,0,0,0,0,0
GENE-6083,NO,1,0,0,0,0,0,0
GENE-6084,NO,1,0,0,0,0,0,0
GENE-6085,NO,1,774,403,246,953,2096,37
GENE-6086,NO,1,0,0,0,0,0,0
GENE-6087,NO,1,0,0,0,0,0,0
GENE-6088,NO,1,0,0,0,0,0,0
GENE-6089,NO,1,0,0,0,0,0,0
GENE-6090,NO,1,0,0,0,0,0,0
GENE-6091,NO,1,269,215,301,142,303,226
GENE-6092,NO,1,0,0,0,0,0,0
GENE-6093,NO,1,0,0,0,0,0,0
GENE-6094,NO,1,0,0,0,0,0,0
GENE-6095,NO,1,0,0,0,0,0,0
GENE-6096,NO,1,0,0,0,0,0,0
GENE-6097,NO,1,0,0,0,0,0,0
GENE-6098,NO,1,0,0,0,0,0,0
GENE-6099,NO,1,0,0,0,0,0,0
GENE-6100,NO,1,0,0,0,0,0,0
GENE-6101,YES,1,0,0,0,0,0,0
GENE-6102,NO,1,0,0,0,0,0,0
GENE-6103,NO,1,0,0,0,0,0,0
GENE-6104,NO,1,0,0,0,0,0,0
GENE-6105,NO,1,0,0,0,0,0,0
GENE-6106,NO,1,0,0,0,0,0,0
GENE-6107,NO,1,1,0,0,0,1,1
GENE-6108,NO,1,23,33,31,43,30,41
GENE-6109,NO,1,0,0,0,0,0,0
GENE-6110,NO,1,0,0,0,0,0,0
GENE-6111,NO,1,0,0,0,0,0,0
GENE-6112,NO,1,94,104,109,60,73,110
GENE-6113,NO,1,5,4,6,2,5,7
GENE-6114,NO,1,9,16,19,12,11,25
GENE-6115,NO,1,0,0,0,0,0,0
GENE-6116,NO,1,0,0,0,0,0,0
GENE-6117,NO,1,2,1,0,0,1,0
GENE-6118,NO,1,130,140,152,119,123,136
GENE-6119,NO,1,0,0,0,0,0,0
GENE-6120,NO,1,0,0,0,0,0,0
GENE-6121,YES,1,0,0,0,0,0,0
GENE-6122,NO,1,0,0,0,0,0,0
GENE-6123,NO,1,0,0,0,0,0,0
GENE-6124,NO,1,0,0,0,0,0,0
GENE-6125,NO,1,0,0,0,0,0,0
GENE-6126,NO,1,0,0,0,0,0,0
GENE-6127,NO,1,0,0,0,0,0,0
GENE-6128,NO,1,0,0,0,0,0,0
GENE-6129,NO,1,0,0,0,0,0,0
GENE-6130,NO,1,2,1,1,1,0,2
GENE-6131,NO,1,0,0,0,0,0,0
GENE-6132,NO,1,0,0,0,0,0,0
GENE-6133,NO,1,0,0,0,0,0,0
GENE-6134,NO,1,18,15,24,15,14,15
GENE-6135,NO,1,0,0,0,0,0,0
GENE-6136,NO,1,254,316,278,301,266,255
GENE-6137,NO,1,0,0,0,0,0,0
GENE-6138,NO,1,0,0,0,0,0,0
GENE-6139,NO,1,0,0,0,0,0,0
GENE-6140,NO,1,0,0,0,0,0,0
GENE-6141,NO,1,279,314,307,385,282,284
GENE-6142,NO,1,0,0,0,0,0,0
GENE-6143,NO,1,0,0,0,0,0,0
GENE-6144,YES,1,0,0,0,0,0,0
GENE-6145,NO,1,8,9,8,11,8,11
GENE-6146,NO,1,0,0,0,0,0,0
GENE-6147,NO,1,109,105,121,89,98,96
GENE-6148,NO,1,0,0,0,0,0,0
GENE-6149,NO,1,0,0,0,0,0,0
GENE-6150,NO,1,8,3,4,1,10,1
GENE-6151,NO,1,0,0,0,0,0,0
GENE-6152,NO,1,0,0,0,0,0,0
GENE-6153,NO,1,1980,1496,1836,1778,1674,1474
GENE-6154,NO,1,0,0,0,0,0,0
GENE-6155,NO,1,0,0,0,0,0,0
GENE-6156,NO,1,0,0,0,0,0,0
GENE-6157,NO,1,0,0,0,0,0,0
GENE-6158,NO,1,0,0,0,0,0,0
GENE-6159,NO,1,0,0,0,0,0,0
GENE-6160,NO,1,1,0,0,0,0,1
GENE-6161,NO,1,0,0,0,0,0,0
GENE-6162,NO,1,1,0,0,0,2,1
GENE-6163,NO,1,0,0,0,0,0,0
GENE-6164,NO,1,0,0,0,0,0,0
GENE-6165,NO,1,0,3,0,1,3,0
GENE-6166,NO,1,0,0,0,0,0,0
GENE-6167,NO,1,0,0,0,0,0,0
GENE-6168,NO,1,0,0,0,0,0,0
GENE-6169,NO,1,206,306,188,278,292,297
GENE-6170,NO,1,39,26,37,25,28,24
GENE-6171,NO,1,30,14,16,20,22,24
GENE-6172,NO,1,0,0,0,0,0,0
GENE-6173,NO,1,203,151,118,124,143,187
GENE-6174,NO,1,0,0,0,0,0,0
GENE-6175,NO,1,78,66,62,69,61,61
GENE-6176,NO,1,0,0,0,0,0,0
GENE-6177,NO,1,0,0,0,0,0,0
GENE-6178,NO,1,0,0,0,0,0,0
GENE-6179,NO,1,0,0,0,0,0,0
GENE-6180,NO,1,0,0,0,0,0,0
GENE-6181,NO,1,0,0,0,0,0,0
GENE-6182,NO,1,0,0,0,0,0,0
GENE-6183,NO,1,0,0,0,0,0,0
GENE-6184,NO,1,0,0,0,0,0,0
GENE-6185,NO,1,0,0,0,0,0,0
GENE-6186,NO,1,0,0,0,0,0,0
GENE-6187,NO,1,35,25,18,23,33,42
GENE-6188,NO,1,0,0,0,0,0,0
GENE-6189,NO,1,0,0,0,0,0,0
GENE-6190,NO,1,0,0,0,0,0,0
GENE-6191,NO,1,0,0,0,0,0,0
GENE-6192,NO,1,0,0,0,0,0,0
GENE-6193,NO,1,0,0,0,0,0,0
GENE-6194,NO,1,0,0,0,0,0,0
GENE-6195,YES,1,0,0,0,0,0,0
GENE-6196,NO,1,0,0,0,0,0,0
GENE-6197,NO,1,0,0,0,0,0,0
GENE-6198,NO,1,0,0,0,0,0,0
GENE-6199,NO,1,53,66,33,31,44,48
GENE-6200,NO,1,0,0,0,0,0,0
GENE-6201,NO,1,0,0,0,0,0,0
GENE-6202,NO,1,0,0,0,0,0,0
GENE-6203,NO,1,25,17,20,29,15,28
GENE-6204,NO,1,25,46,30,35,30,62
GENE-6205,YES,1,0,0,0,0,0,0
GENE-6206,NO,1,0,0,0,0,0,0
GENE-6207,NO,1,0,0,0,0,0,0
GENE-6208,NO,1,145,125,112,94,127,89
GENE-6209,NO,1,0,0,0,0,0,0
GENE-6210,NO,1,0,0,0,0,0,0
GENE-6211,NO,1,0,0,0,0,0,0
GENE-6212,YES,1,0,0,0,0,0,0
GENE-6213,NO,1,0,0,0,0,0,0
GENE-6214,YES,1,0,0,0,0,0,0
GENE-6215,NO,1,0,0,0,0,0,0
GENE-6216,NO,1,0,0,0,0,0,0
GENE-6217,NO,1,0,0,0,0,0,0
GENE-6218,NO,1,682,674,646,650,653,621
GENE-6219,NO,1,0,0,0,0,0,0
GENE-6220,NO,1,0,0,0,0,0,0
GENE-6221,NO,1,0,0,0,0,0,0
GENE-6222,NO,1,0,0,0,0,0,0
GENE-6223,NO,1,0,0,0,0,0,0
GENE-6224,NO,1,11,11,9,11,7,6
GENE-6225,NO,1,0,0,0,0,0,0
GENE-6226,NO,1,0,0,0,0,0,0
GENE-6227,NO,1,41,69,57,64,57,44
GENE-6228,NO,1,0,0,0,0,0,0
GENE-6229,NO,1,0,0,0,0,0,0
GENE-6230,NO,1,0,0,0,0,0,0
GENE-6231,NO,1,0,0,0,0,0,0
GENE-6232,NO,1,0,0,0,0,0,0
GENE-6233,NO,1,97,88,99,84,106,129
GENE-6234,NO,1,0,0,0,1,0,0
GENE-6235,NO,1,187,94,253,250,224,483
GENE-6237,NO,1,0,0,0,0,0,0
GENE-6238,NO,1,0,0,0,0,0,0
GENE-6239,NO,1,0,0,0,0,0,0
GENE-6240,NO,1,0,0,0,0,0,0
GENE-6241,NO,1,0,0,0,0,0,0
GENE-6242,NO,1,0,0,0,0,0,0
GENE-6243,NO,1,0,0,0,0,0,0
GENE-6244,NO,1,123,109,186,156,118,164
GENE-6245,NO,1,155,146,166,158,141,167
GENE-6246,NO,1,1036,1171,1153,1118,1119,1424
GENE-6247,NO,1,0,0,0,0,0,0
GENE-6248,NO,1,0,0,0,0,0,0
GENE-6249,YES,1,0,0,0,0,0,0
GENE-6250,NO,1,0,0,0,0,0,0
GENE-6251,NO,1,0,0,0,0,0,0
GENE-6252,NO,1,0,0,0,3,2,3
GENE-6253,YES,1,0,0,0,0,0,0
GENE-6254,NO,1,0,0,0,0,0,0
GENE-6255,NO,1,0,0,0,0,0,0
GENE-6256,NO,1,0,0,0,0,0,0
GENE-6257,NO,1,0,0,0,0,0,0
GENE-6258,NO,1,0,0,0,0,0,0
GENE-6259,NO,1,0,0,0,0,0,0
GENE-6260,NO,1,0,0,0,0,0,0
GENE-6261,NO,1,7,8,14,11,12,15
GENE-6262,NO,1,0,0,0,0,0,0
GENE-6263,NO,1,0,1,2,2,0,0
GENE-6264,NO,1,63,71,72,41,85,81
GENE-6265,NO,1,0,0,0,0,0,0
GENE-6266,NO,1,0,0,0,0,0,0
GENE-6267,NO,1,0,0,0,0,0,0
GENE-6268,NO,1,0,0,0,0,0,0
GENE-6269,NO,1,0,0,0,0,0,0
GENE-6270,NO,1,0,0,0,0,0,0
GENE-6271,NO,1,0,0,0,0,0,0
GENE-6272,NO,1,0,0,0,0,0,0
GENE-6273,NO,1,7,12,7,10,11,8
GENE-6274,NO,1,439,225,530,523,439,338
GENE-6275,NO,1,123,133,139,96,116,152
GENE-6276,NO,1,0,0,0,0,0,0
GENE-6277,NO,1,0,0,0,0,0,0
GENE-6278,NO,1,0,0,0,0,0,0
GENE-6279,NO,1,148,607,69,493,311,180
GENE-6280,NO,1,38,47,31,40,51,53
GENE-6281,NO,1,11,4,11,9,4,9
GENE-6282,NO,1,0,0,0,0,0,0
GENE-6283,NO,1,0,0,0,0,0,0
GENE-6284,NO,1,0,0,0,0,0,0
GENE-6285,NO,1,83,133,126,103,111,136
GENE-6286,NO,1,0,0,0,0,0,0
GENE-6287,NO,1,0,0,0,0,0,0
GENE-6288,NO,1,2,0,0,0,0,0
GENE-6289,NO,1,7,14,16,9,15,8
GENE-6290,NO,1,1,0,0,1,0,0
GENE-6291,NO,1,2,1,4,2,2,1
GENE-6292,NO,1,0,0,0,0,0,0
GENE-6293,NO,1,36,201,33,84,90,74
GENE-6294,NO,1,29,15,18,14,12,12
GENE-6295,NO,1,140,147,116,287,91,110
GENE-6296,NO,1,2,8,3,25,7,6
GENE-6297,NO,1,0,0,0,0,0,0
GENE-6298,NO,1,78,90,82,107,93,85
GENE-6299,NO,1,0,0,0,0,0,0
GENE-6300,YES,1,0,0,0,0,0,0
GENE-6301,NO,1,0,0,0,0,0,0
GENE-6302,NO,1,0,0,0,0,0,0
GENE-6303,NO,1,0,0,0,0,0,0
GENE-6304,NO,1,0,0,0,0,0,0
GENE-6305,NO,1,0,0,0,0,0,0
GENE-6306,NO,1,0,0,0,0,0,0
GENE-6307,NO,1,0,0,0,0,0,0
GENE-6308,NO,1,7,742,656,0,598,354
GENE-6309,NO,1,0,0,0,0,0,0
GENE-6310,YES,1,0,0,0,0,0,0
GENE-6311,NO,1,0,0,0,0,0,0
GENE-6312,NO,1,0,0,0,0,0,0
GENE-6313,NO,1,0,1,2,1,0,1
GENE-6314,NO,1,2,2,3,0,6,3
GENE-6315,NO,1,0,0,0,0,0,0
GENE-6316,NO,1,0,0,0,0,0,0
GENE-6317,NO,1,0,0,0,0,0,0
GENE-6318,NO,1,8,5,9,7,10,6
GENE-6319,NO,1,0,0,0,0,0,0
GENE-6320,NO,1,0,0,0,0,0,0
GENE-6321,NO,1,16,13,3,2,10,7
GENE-6322,NO,1,0,0,0,0,0,0
GENE-6323,NO,1,1232,1031,1109,1093,1078,1357
GENE-6324,YES,1,0,0,0,0,0,0
GENE-6325,NO,1,0,0,0,0,0,0
GENE-6326,NO,1,0,0,0,0,0,0
GENE-6327,NO,1,2,1,1,0,0,0
GENE-6328,NO,1,0,0,0,0,0,0
GENE-6329,NO,1,0,0,0,0,0,0
GENE-6330,NO,1,0,0,0,0,0,0
GENE-6331,NO,1,290,237,313,325,220,328
GENE-6332,NO,1,0,0,0,0,0,0
GENE-6333,NO,1,739,1013,964,679,1162,544
GENE-6334,NO,1,0,0,0,0,0,0
GENE-6335,NO,1,0,0,0,0,0,0
GENE-6336,NO,1,0,0,0,0,0,0
GENE-6337,NO,1,2,0,0,0,1,0
GENE-6338,NO,1,0,0,0,0,0,0
GENE-6339,NO,1,1620,1682,1793,1811,1964,1714
GENE-6340,NO,1,1586,1615,1575,1488,1459,1671
GENE-6341,NO,1,43,44,34,56,26,32
GENE-6342,NO,1,0,0,0,0,0,0
GENE-6343,NO,1,206,193,182,190,198,179
GENE-6344,NO,1,0,0,0,0,0,0
GENE-6345,NO,1,0,0,0,0,0,0
GENE-6346,NO,1,0,0,0,0,0,0
GENE-6347,NO,1,17,18,12,17,17,20
GENE-6348,NO,1,0,0,0,0,0,0
GENE-6349,NO,1,199,50,54,208,62,135
GENE-6350,NO,1,0,0,0,0,0,0
GENE-6351,NO,1,0,1,1,1,2,1
GENE-6352,NO,1,0,0,0,0,0,0
GENE-6353,NO,1,0,0,0,0,0,0
GENE-6354,NO,1,28,27,51,25,28,57
GENE-6355,NO,1,0,0,0,0,0,0
GENE-6356,YES,1,3,0,1,0,0,0
GENE-6357,NO,1,0,0,0,0,0,0
GENE-6358,NO,1,0,0,0,0,0,0
GENE-6359,NO,1,0,0,0,0,0,0
GENE-6360,NO,1,0,0,0,0,0,0
GENE-6361,NO,1,0,0,0,0,0,0
GENE-6362,NO,1,0,0,0,0,0,0
GENE-6363,NO,1,0,0,0,0,0,0
GENE-6364,NO,1,0,0,0,0,0,0
GENE-6365,NO,1,0,0,0,0,0,0
GENE-6366,NO,1,0,0,0,0,0,0
GENE-6367,NO,1,0,0,0,0,0,0
GENE-6368,NO,1,221,177,250,194,207,230
GENE-6369,NO,1,0,0,0,0,0,0
GENE-6370,NO,1,0,0,0,0,0,0
GENE-6371,NO,1,0,0,0,0,0,0
GENE-6372,NO,1,0,0,0,0,0,0
GENE-6373,NO,1,53,36,33,35,59,26
GENE-6374,NO,1,0,0,0,0,0,0
GENE-6375,NO,1,167,175,221,162,171,188
GENE-6376,NO,1,2,7,1,2,3,3
GENE-6377,NO,1,1136,968,1154,1001,1000,1093
GENE-6378,NO,1,11,17,9,16,8,15
GENE-6379,NO,1,0,0,0,0,0,0
GENE-6380,YES,1,0,0,0,0,0,0
GENE-6381,NO,1,0,0,0,0,0,0
GENE-6382,NO,1,0,0,0,0,0,0
GENE-6383,NO,1,84,124,108,87,114,97
GENE-6384,NO,1,0,0,0,0,0,0
GENE-6385,NO,1,0,0,0,0,0,0
GENE-6386,NO,1,0,0,0,0,0,0
GENE-6387,NO,1,0,0,0,0,0,0
GENE-6388,NO,1,0,0,0,0,0,0
GENE-6389,NO,1,0,0,0,0,0,0
GENE-6390,NO,1,0,0,1,1,1,1
GENE-6391,NO,1,8,7,6,6,5,3
GENE-6392,NO,1,0,0,0,0,0,0
GENE-6393,NO,1,0,0,0,0,0,0
GENE-6394,NO,1,29,2,24,4,1,11
GENE-6395,NO,1,0,0,0,0,0,0
GENE-6396,NO,1,0,0,0,0,0,0
GENE-6397,NO,1,0,0,0,0,0,0
GENE-6398,NO,1,0,0,0,0,0,0
GENE-6399,NO,1,74,50,55,35,50,91
GENE-6400,NO,1,0,0,0,0,0,0
GENE-6401,NO,1,9,6,4,4,4,5
GENE-6402,NO,1,0,0,0,0,0,0
GENE-6403,NO,1,0,0,0,0,0,0
GENE-6404,NO,1,0,0,0,0,0,0
GENE-6405,NO,1,0,0,0,0,0,0
GENE-6406,NO,1,0,0,0,0,0,0
GENE-6407,NO,1,0,0,0,0,0,0
GENE-6408,NO,1,0,0,0,0,0,0
GENE-6409,NO,1,0,0,0,0,0,0
GENE-6410,NO,1,19,20,17,17,22,28
GENE-6411,NO,1,1366,1238,1297,1419,1168,1245
GENE-6412,NO,1,0,0,0,0,0,0
GENE-6413,NO,1,0,0,0,0,0,0
GENE-6414,NO,1,3,5,7,2,4,2
GENE-6415,NO,1,0,0,0,0,0,0
GENE-6416,NO,1,0,0,0,0,0,0
GENE-6417,NO,1,0,0,0,0,0,0
GENE-6418,YES,1,0,0,0,0,0,0
GENE-6419,NO,1,0,0,0,0,0,0
GENE-6420,NO,1,0,0,0,0,0,0
GENE-6421,NO,1,0,0,0,0,0,0
GENE-6423,NO,1,0,0,0,0,0,0
GENE-6424,NO,1,18,17,22,14,24,13
GENE-6425,NO,1,14,20,14,13,12,11
GENE-6426,NO,1,0,0,0,0,0,0
GENE-6427,NO,1,0,0,0,0,0,0
GENE-6428,NO,1,1,1,0,0,3,1
GENE-6429,NO,1,0,0,0,0,0,0
